Date,High,Low,Open,Close,Volume,Adj Close,Close daily,Adj daily,
4/14/2005,117.5,115.7699966,117.4000015,115.7699966,96119800,85.5344162,0.986956467,0.986956452, (0.0000000150)
4/15/2005,116.1999969,114.0999985,115.7399979,114.1500015,128677300,84.33750916,0.986006779,0.98600672, (0.0000000594)
4/18/2005,114.9599991,113.9599991,114.1200027,114.5,100035200,84.59609222,1.003066128,1.003066051, (0.0000000771)
4/19/2005,115.5299988,114.8300018,115.0999985,115.4100037,64930100,85.26844788,1.00794763,1.007947833, 0.0000002032 
4/20/2005,115.6299973,113.5500031,115.3799973,113.8000031,107735900,84.07894897,0.986049731,0.986049952, 0.0000002216 
4/21/2005,116.2099991,114.3799973,114.7900009,116.0100021,86952200,85.71173859,1.019420027,1.01941972, (0.0000003070)
4/22/2005,116.5,114.2699966,115.7399979,115.5699997,88845800,85.38667297,0.996207203,0.996207455, 0.0000002526 
4/25/2005,116.5,115.7200012,115.8600006,116.3300018,52284100,85.94816589,1.00657612,1.006575885, (0.0000002348)
4/26/2005,116.7699966,115.1500015,115.9599991,115.1999969,72626000,85.11328125,0.990286213,0.990286184, (0.0000000285)
4/27/2005,116.0699997,114.4400024,114.8600006,115.6500015,84131900,85.44577789,1.00390629,1.003906519, 0.0000002291 
4/28/2005,115.6800003,114.1999969,115.2699966,114.1999969,72481500,84.37445831,0.987462131,0.987461995, (0.0000001358)
4/29/2005,115.8700027,113.9700012,115.0699997,115.75,103993800,85.51966095,1.013572707,1.013572859, 0.0000001525 
5/2/2005,116.4100037,115.5199966,116.0699997,116.4000015,56026400,85.99989319,1.005615564,1.00561546, (0.0000001039)
5/3/2005,116.8499985,115.6900024,116.0699997,116.5999985,86000300,86.14763641,1.001718187,1.001717947, (0.0000002402)
5/4/2005,117.75,116.2799988,116.6500015,117.5,81055700,86.81259155,1.00771871,1.007718786, 0.0000000761 
5/5/2005,118,116.7399979,117.6699982,117.4599991,96906700,86.78303528,0.999659567,0.999659539, (0.0000000274)
